#在注释中：支持使用 &nbsp 来定义空格，支持使用 <br> 来定义换行，而正常的空格被用于分词

# 宇码·卿云输入法的字根口诀 (注释)
{两点二}(èr)，<br>甫(fǔ)用木干(gàn)㐄(kuà)[飞]ₑ甲	〔注〕(关二爷)仅用一根木棍就穿过了刀剑的夹击
冂	〔例〕再内刚同换离肉病两网
人	〔例〕从会个以人内全快块啥
业	〔例〕壶對恶谱虚亚碰业湿显
小	〔例〕就你小您少秒原称抄省
{纟上}	〔例〕丝乡雍飨擁鄉響郷壅嚮
水	〔例〕水球求救爆冰录绿蒸尿
王	〔例〕玩全往球主王住班注国
厶	〔例〕会去能却即么法离既层
丬	〔例〕将背装奖酱北状乘蒋剩
匕	〔例〕呢能它比老背花死化此
山	〔例〕岁端山岗岛碳崩催仙蹦
壬	〔例〕挺丢凭任艇庭壬淫廷恁
匚	〔例〕既区砸欧距抠匿巨框拒
コ	〔例〕快块管缺官距馆巨侯拒
丿	〔例〕我才第么哦少秒系群血
䒑	〔例〕并前道送赚短烂拼关首
{畏下}	〔例〕喂展丧碾畏煨隈猥辗偎
十	〔例〕真卖读值喷单率牌弹德
丷	〔例〕说总曾卷圈半单弹平滴
丨	〔例〕在中个第书种搜旧冲修
丩	〔例〕叫收纠収朻丩糾嘂荍訆
口	〔例〕和中吗吧后呢啊或说点
{奉下}	〔例〕那半哪键建举捧译棒胖
⺄	〔例〕飞讯虱迅訊茕丮汛厾卂
彡	〔例〕修形惨趁须颜影穆彭参
丰	〔例〕帮瞎割拜害峰邦绑耗缝
丱	〔例〕關聯虛噓丱戱㺦㶌壣𬥟
{介下}	〔例〕讲进界费养价齐挤桥佛
{⺮右}	〔例〕蓝临揽监篮滥览槛鉴榄
{横日}	〔例〕临晩𠠤𪶳𫟜𡺎𦜧𩺒𤟁
〢	〔例〕蓝兼肾紧竖临揽贤监篮
{南心}	〔例〕南献幸凿楠報喃圉腩釋
九	〔例〕热九熟垫抛势杂轨丸执
⺆	〔例〕周调删册丹雕珊稠調凋
亠	〔例〕装坑较交六率流弦滴市
力	〔例〕为加别力边男另穷动办
卄	〔例〕并某开型度算喷拼升弄
{冂丶}	〔例〕丽骊俪麗曬郦纚儷鲡灑
{兴上}	〔例〕应脸剑签举捡险兴验检
八	〔例〕分只真练赚共粉较交六
乁	〔例〕乁亪㇊𠤬乁𨑃
乂	〔例〕更使便刚区杀较硬交风
乃	〔例〕及级仍扔极乃秀奶吸透
亅	〔例〕挣争净静睁筝爭铮竫狰
⺈	〔例〕你像您换称解晚负色挣
之	〔例〕之泛贬芝眨乏貶窆砭柉
乌	〔例〕乌呜坞钨邬𰏓𬮻𠆿𠛆𫲻
{乞上}	〔例〕年吃作每咋拖海炸族伤
{乍下}	〔例〕作咋炸窄怎榨乍诈昨酢
{于下}	〔例〕才于事团财乎呼材宇闭
{乐上}	〔例〕乐栎烁砾泺铄轹跞㧰𬍛
{二撇}	〔例〕场踢汤杨易物勿烫赐葱
{飞右}	〔例〕跳挑飞逃聚兆桃姚脊楽
亻	〔例〕但你他做像们使亿低便
夭	〔例〕笑妖桥乔沃娇轿矫跃夭
⺁	〔例〕后版派反饭板盾质返殷
巾	〔例〕带刷帮砸师常市帧帅币
千	〔例〕懂重睡千插锤董薰捶熏
禾	〔例〕和秒种称香税科秦稳秀
龷	〔例〕共借错睡黄供爆锤港撒
乙	〔例〕吃亿挖乙艺乾忆乞龁钇
乜	〔例〕乜𮓲𰰟𭴂𱑿𲍆𤘗𭑫𲃔𰥟
也	〔例〕也他她地拖池施祂驰怹
习	〔例〕翻戳扇羽翼翘塌翔翁习
